Area,Bedrooms,Bathrooms,Age,Parking,Price
3046,4,2,5,1,16755580
2392,1,4,11,1,12854776
3100,3,4,7,1,17199500
2521,2,3,21,3,13853606
1754,4,4,30,1,11052398
3076,2,3,1,3,16756244
2871,1,1,9,0,13512599
1717,4,2,26,3,10572668
1509,4,3,29,0,9650550
818,4,3,7,3,7341569
2135,2,1,10,0,10959077
1198,2,1,9,3,7161534
3489,4,4,19,0,18808574
677,3,2,26,1,5371962
3093,5,4,3,2,18592683
1833,1,1,7,3,9802818
857,1,4,19,0,5621910
2955,2,2,9,3,15274140
3118,3,2,18,3,16577412
3321,1,3,2,0,16653920
2525,1,4,11,2,13204531
2062,1,3,7,0,10802671
1146,1,3,17,2,6665594
3404,4,4,20,1,18659403
858,4,1,9,1,6331934
1417,1,3,29,2,7941918
2231,5,4,8,0,14139886
1771,3,1,27,2,9830988
1109,3,4,28,3,8251597
2183,3,2,15,3,12633691
2726,3,1,23,3,14224760
